Configuration,Config_cost,Scenario_cost,Scenario,EmissionsThreshold,OilPrices,Risk.Free.Interest.Rate,RefOpEx,Carbon.Capture.Operating.Cost.Variation,Carbon.Price.Variation,Project.Lifetime,Year,RO_Options,Count,Total_Count,Percentage,Expected Total Emissions,Emissions Baseline,Expected Throughput
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2040,Shutdown Refinery,219889,220000,0.999495455,0,7.627203322,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2041,Deploy Carbon Capture,109,230000,0.000473913,0.001647177,0.003500653,0.482944281
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2041,Shutdown Refinery,229891,230000,0.999526087,0,7.383198685,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2042,Deploy Carbon Capture,103,240000,0.000429167,0.001442797,0.003065374,0.423134771
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2042,Shutdown Refinery,239897,240000,0.999570833,0,7.139553071,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2043,Deploy Carbon Capture,101,250000,0.000404,0.001312225,0.00278712,0.384944716
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2043,Shutdown Refinery,249899,250000,0.999596,0,6.896023735,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2044,Deploy Carbon Capture,83,260000,0.000319231,0.001000586,0.002124569,0.293603502
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2044,Shutdown Refinery,259917,260000,0.999680769,0,6.653152,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2045,Deploy Carbon Capture,76,270000,0.000281481,0.000850274,0.001804864,0.249564345
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2045,Shutdown Refinery,269924,270000,0.999718519,0,6.410210722,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2046,Deploy Carbon Capture,50,280000,0.000178571,0.000519128,0.001101612,0.152410452
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2046,Shutdown Refinery,279950,280000,0.999821429,0,6.167926295,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2047,Deploy Carbon Capture,37,290000,0.000127586,0.000356423,0.000756116,0.104670052
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2047,Shutdown Refinery,289963,290000,0.999872414,0,5.925557416,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2048,Shutdown Refinery,300000,300000,1,0,5.68387246,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2049,Shutdown Refinery,310000,310000,1,0,5.441704692,0
0,Hydroskimming,Low Fuel Demand,HIGH,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2050,Shutdown Refinery,320000,320000,1,0,5.199810228,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2019,Continue Operation,10000,10000,1,3.397600237,3.397600237,506.787855
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2020,Continue Operation,20000,20000,1,3.756282072,3.756282072,558.6210423
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2021,Continue Operation,30000,30000,1,4.117039102,4.117039102,610.4542296
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2022,Continue Operation,29307,40000,0.732675,3.282289725,3.282289725,485.2414332
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2022,Deploy Carbon Capture,10693,40000,0.267325,0.569070938,1.197581603,177.0459837
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2023,Continue Operation,29726,50000,0.59452,2.880317862,2.880317862,424.5589816
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2023,Deploy Carbon Capture,20274,50000,0.40548,0.932480107,1.964460887,289.5616226
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2024,Continue Operation,30145,60000,0.502416667,2.618475772,2.618475772,384.8279508
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2024,Deploy Carbon Capture,29855,60000,0.497583333,1.229656124,2.593285592,381.1258408
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2025,Continue Operation,30564,70000,0.436628571,2.436745104,2.436745104,357.0691603
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2025,Deploy Carbon Capture,39436,70000,0.563371429,1.48924265,3.144074072,460.7178186
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2026,Continue Operation,30983,80000,0.3872875,2.305116681,2.305116681,336.7930201
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2026,Deploy Carbon Capture,49017,80000,0.6127125,1.725561516,3.646835502,532.8271461
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2027,Continue Operation,31402,90000,0.348911111,2.206918738,2.206918738,321.5053134
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2027,Deploy Carbon Capture,58598,90000,0.651088889,1.946569294,4.118241648,599.9480401
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2028,Continue Operation,31821,100000,0.31821,2.132148216,2.132148216,309.7095102
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2028,Deploy Carbon Capture,68179,100000,0.68179,2.157039928,4.568295567,663.5770307
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2029,Continue Operation,32210,110000,0.292818182,2.072509223,2.072509223,300.1736949
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2029,Deploy Carbon Capture,77770,110000,0.707,2.360314881,5.004006281,724.7596478
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2029,Shutdown Refinery,20,110000,0.000181818,0,0.001286873,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2030,Continue Operation,14041,120000,0.117008333,0.872558775,0.872558775,126.0124657
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2030,Deploy Carbon Capture,45835,120000,0.381958333,1.342135119,2.848353497,411.3511407
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2030,Shutdown Refinery,60124,120000,0.501033333,0,3.736323894,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2031,Continue Operation,84,130000,0.000646154,0.005065035,0.005065035,0.729369482
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2031,Deploy Carbon Capture,396,130000,0.003046154,0.011239659,0.023878024,3.438456128
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2031,Shutdown Refinery,129520,130000,0.996307692,0,7.809802091,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2032,Continue Operation,42,140000,3e-04,0.002466699,0.002466699,0.354185787
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2032,Deploy Carbon Capture,426,140000,0.003042857,0.01176483,0.025019374,3.59245584
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2032,Shutdown Refinery,139532,140000,0.996657143,0,8.194843257,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2033,Continue Operation,12,150000,8e-05,0.000688639,0.000688639,0.098596198
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2033,Deploy Carbon Capture,384,150000,0.00256,0.0103516,0.022036451,3.155078342
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2033,Shutdown Refinery,149604,150000,0.99736,0,8.585263614,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2034,Deploy Carbon Capture,364,160000,0.002275,0.009603776,0.02046527,2.921749887
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2034,Shutdown Refinery,159636,160000,0.997725,0,8.975258003,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2035,Deploy Carbon Capture,348,170000,0.002047059,0.009006884,0.019212738,2.735113885
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2035,Shutdown Refinery,169652,170000,0.997952941,0,9.366320301,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2036,Deploy Carbon Capture,340,180000,0.001888889,0.008412189,0.017936565,2.550877406
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2036,Shutdown Refinery,179660,180000,0.998111111,0,9.47789205,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2037,Deploy Carbon Capture,340,190000,0.001789474,0.008065596,0.017190269,2.442291877
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2037,Shutdown Refinery,189660,190000,0.998210526,0,9.589136284,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2038,Deploy Carbon Capture,340,200000,0.0017,0.007753891,0.016518946,2.3445649
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2038,Shutdown Refinery,199660,200000,0.9983,0,9.700507905,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2039,Deploy Carbon Capture,340,210000,0.001619048,0.007472091,0.015911886,2.256145255
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2039,Shutdown Refinery,209660,210000,0.998380952,0,9.812017623,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2040,Deploy Carbon Capture,340,220000,0.001545455,0.007216118,0.015360326,2.175763759
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2040,Shutdown Refinery,219660,220000,0.998454545,0,9.923674202,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2041,Deploy Carbon Capture,337,230000,0.001465217,0.006920992,0.014725936,2.083821618
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2041,Shutdown Refinery,229663,230000,0.998534783,0,10.03561597,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2042,Deploy Carbon Capture,322,240000,0.001341667,0.006410394,0.013633818,1.927355758
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2042,Shutdown Refinery,239678,240000,0.998658333,0,10.14821783,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2043,Deploy Carbon Capture,313,250000,0.001252,0.006050261,0.012862502,1.816506906
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2043,Shutdown Refinery,249687,250000,0.998748,0,10.26070125,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2044,Deploy Carbon Capture,279,260000,0.001073077,0.005244293,0.011144417,1.57230425
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2044,Shutdown Refinery,259721,260000,0.998926923,0,10.3743338,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2045,Deploy Carbon Capture,234,270000,0.000866667,0.004283039,0.009097916,1.282298701
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2045,Shutdown Refinery,269766,270000,0.999133333,0,10.48849712,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2046,Deploy Carbon Capture,176,280000,0.000628571,0.003140919,0.006669089,0.939036109
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2046,Shutdown Refinery,279824,280000,0.999371429,0,10.60324513,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2047,Deploy Carbon Capture,76,290000,0.000262069,0.001323972,0.002810018,0.395269904
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2047,Shutdown Refinery,289924,290000,0.999737931,0,10.71962575,0
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2048,Deploy Carbon Capture,4,300000,1.33333333333333e-05,6.81E-05,1.44E-04,0.020301499
0,Hydroskimming,High Fuel Demand,LOW,Carbon Tax,RefOPS,RefRFRate,RefRefOpEx,RefCCOpEx,RefCPS,RefProjLife,2048,Shutdown Refinery,299996,300000,0.999986667,0,10.8350152,0
